"Dc_Dist","Psa","Dispatch_Date_Time","Dc_Key","Location_Block","UCR_General","Text_General_Code","Police_Districts","Lon","Lat"
12,"3","2010-09-02 03:26:00",201012081983,"S 53RD ST / WOODLAND AVE",2100,"DRIVING UNDER THE INFLUENCE",9,-75.217617,39.937339
15,"1","2010-09-22 17:29:00",201015102481,"4500 BLOCK SEPVIVA ST",700,"Motor Vehicle Theft",11,-75.079902,40.003045
16,"Q","2008-05-01 16:52:00",200816022312,"1000 BLOCK N 45TH ST",600,"Theft from Vehicle",12,-75.2128,39.971427
19,"2","2014-11-30 19:13:00",201419109893,"300 BLOCK N WILTON ST",1400,"Vandalism/Criminal Mischief",15,-75.225616,39.965836
9,"K","2009-11-03 20:02:00",200909053780,"1500 BLOCK GREEN ST",1100,"Fraud",8,-75.163119,39.964089
26,"C","2008-12-04 10:26:00",200826078565,"600 BLOCK E THOMPSON ST",800,"Other Assaults",19,-75.127282,39.972994
14,"1","2010-03-09 19:36:00",201014016056,"7900 BLOCK WOOLSTON AVE",500,"Burglary Residential",10,-75.16834,40.068559
2,"3","2015-08-22 16:44:00",201502054542,"7400 BLOCK BUSTLETON AVE",600,"Thefts",2,-75.058137,40.049908
15,"2","2012-03-07 01:16:00",201215021370,"2900 BLOCK BENNER ST",1100,"Fraud",11,-75.066221,40.027544
26,"3","2012-05-17 17:33:00",201226025746,"1100 BLOCK E SUSQUEHANNA AVE",600,"Thefts",19,-75.12477,39.97195
14,"1","2014-05-16 18:57:00",201414036519,"6900 BLOCK E WISTER ST",500,"Burglary Residential",10,-75.157388,40.056936
12,"4","2011-11-10 23:32:00",201112089655,"S 58TH ST / WHITBY AV",2600,"All Other Offenses",9,-75.235036,39.941483
39,"V","2007-05-13 09:46:00",200739028663,"600 BLOCK W RITTENHOUSE ST",600,"Theft from Vehicle",21,-75.185009,40.030059
26,"2","2010-12-14 11:41:00",201026070435,"1200 BLOCK N 2ND ST",1100,"Fraud",19,-75.139509,39.969548
25,"4","2015-02-04 09:31:00",201525009383,"700 BLOCK W LEHIGH AV",600,"Thefts",18,-75.144141,39.992642
14,"2","2016-08-24 13:10:00",201614068003,"BAYNTON ST / E PRICE ST",600,"Thefts",10,-75.172534,40.039524
12,"J","2008-07-02 23:19:00",200812057970,"2000 BLOCK S SIMPSON ST",1800,"Narcotic / Drug Law Violations",9,-75.235552,39.927387
18,"O","2006-10-25 22:43:00",200618075097,"S 60TH ST /SPRUCE ST",400,"Aggravated Assault Firearm",14,-75.241891,39.956562
25,"P","2006-09-12 13:53:00",200625096809,"3800 BLOCK N DELHI ST",1100,"Fraud",18,-75.143407,40.01037
35,"1","2012-07-03 04:07:00",201235052033,"5800 BLOCK N 13TH ST",2600,"All Other Offenses",20,-75.141653,40.042577
24,"D","2006-02-09 18:55:00",200624013472,"3100 BLOCK AGATE ST",2600,"All Other Offenses",17,-75.109228,39.988231
12,"1","2012-05-23 00:18:00",201212036749,"S 73RD ST  / BUIST AV",700,"Recovered Stolen Motor Vehicle",9,-75.240336,39.913008
16,"1","2014-08-09 13:26:00",201416034017,"600 BLOCK N 40TH ST",800,"Other Assaults",12,-75.202264,39.963486
17,"B","2007-07-15 12:00:00",200717032561,"1200 BLOCK POINT BREEZE AVE",2600,"All Other Offenses",13,-75.176776,39.937319
35,"3","2014-05-10 17:29:00",201435037362,"6300 BLOCK OGONTZ AV",2600,"All Other Offenses",20,-75.150296,40.05057
2,"1","2012-01-03 14:10:00",201202000446,"4600 BLOCK E ROOSEVELT BLVD",1400,"Vandalism/Criminal Mischief",2,-75.099584,40.02849
3,"J","2008-03-28 12:22:00",200803011213,"1200 BLOCK FEDERAL ST",1100,"Fraud",3,-75.164101,39.935126
15,"1","2010-08-02 11:13:00",201015082675,"1600 BLOCK HAWORTH ST",500,"Burglary Residential",11,-75.078392,40.019972
19,"3","2012-04-06 18:35:00",201219027103,"1500 BLOCK N 52ND ST",600,"Thefts",15,-75.225859,39.978568
15,"1","2015-01-18 18:33:00",201515005467,"1900 BLOCK WAKELING ST",300,"Robbery No Firearm",11,-75.074754,40.016275
22,"3","2014-10-27 07:43:00",201422089410,"2000 BLOCK W GIRARD AV",600,"Theft from Vehicle",16,-75.169045,39.972674
26,"2","2011-11-07 10:40:00",201126061549,"100 BLOCK LAUREL ST",1400,"Vandalism/Criminal Mischief",19,-75.139039,39.964973
24,"2","2014-06-24 12:36:00",201424053426,"3000 BLOCK AMBER ST",800,"Other Assaults",17,-75.113232,39.990407
8,"2","2014-05-31 23:36:00",201408020252,"10800 BLOCK HARROW RD FL1",2600,"All Other Offenses",7,-74.990593,40.082026
19,"X","2007-08-04 10:08:00",200719051306,"600 BLOCK N WILTON ST",700,"Recovered Stolen Motor Vehicle",15,-75.226133,39.96967
12,"4","2011-01-31 02:19:00",201112007848,"S 54TH ST / FLORENCE AV",2600,"All Other Offenses",9,-75.226795,39.942954
25,"J","2008-03-20 21:34:00",200825028156,"2900 BLOCK N 6TH ST",2600,"All Other Offenses",18,-75.141543,39.995483
24,"N","2008-11-10 17:59:00",200824098600,"4200 BLOCK M ST",700,"Recovered Stolen Motor Vehicle",17,-75.099712,40.01176
1,"1","2010-08-11 23:54:00",201001033849,"2700 BLOCK WOLF ST",800,"Other Assaults",1,-75.190785,39.924154
26,"3","2012-06-09 09:55:00",201226030785,"2500 BLOCK KENSINGTON AVE",2400,"Disorderly Conduct",19,-75.129642,39.987608
5,"H","2009-08-13 14:17:00",200905019127,"UMBRIA ST  / PARKER AV",1400,"Vandalism/Criminal Mischief",4,-75.235406,40.03547
2,"3","2012-03-27 16:26:00",201202020914,"2200 BLOCK SAINT VINCENT ST",500,"Burglary Residential",2,-75.057359,40.04345
16,"L","2007-10-10 23:31:00",200716045914,"4000 BLOCK RENO ST",2600,"All Other Offenses",12,-75.203187,39.967888
12,"2","2012-02-19 00:43:00",201212011750,"CEMETERY AV / KINGSESSING AV",2600,"All Other Offenses",9,-75.235441,39.928916
12,"3","2014-06-22 00:45:00",201412045468,"2500 BLOCK S 61ST ST",2600,"All Other Offenses",9,-75.224826,39.92599
2,"1","2010-08-10 12:40:00",201002054254,"1400 BLOCK KNORR ST",1400,"Vandalism/Criminal Mischief",2,-75.073113,40.044723
2,"1","2015-04-30 18:38:00",201502027116,"1400 BLOCK BENNER ST",800,"Other Assaults",2,-75.080888,40.035719
14,"4","2011-01-07 15:45:00",201114001631,"8100 BLOCK TEMPLE RD",200,"Rape",10,-75.170118,40.075888
16,"G","2009-03-31 09:22:00",200916018390,"3800 BLOCK FAIRMOUNT AVE",800,"Other Assaults",12,-75.199378,39.965581
14,"V","2009-03-16 20:53:00",200914018621,"0 BLOCK NORMAN LN",500,"Burglary Residential",10,-75.214029,40.079102
15,"K","2008-02-26 17:32:00",200815021917,"6200 BLOCK FRANKFORD AV",1400,"Vandalism/Criminal Mischief",11,-75.062314,40.027508
25,"2","2010-12-04 19:35:00",201025112880,"N 8TH ST / W BRISTOL ST",2600,"All Other Offenses",18,-75.139752,40.017286
77,"A","2014-01-19 15:13:00",201477000450,"8800 BLOCK ESSINGTON",800,"Other Assaults",NA,NA,NA
22,"4","2013-01-07 00:22:00",201322001665,"1500 BLOCK BUCKNELL WAY",2600,"All Other Offenses",16,-75.17374,39.978134
7,"3","2015-11-02 09:17:00",201507032444,"15000 BLOCK ENDICOTT ST",600,"Thefts",6,-74.992645,40.121871
22,"4","2012-10-16 15:27:00",201222088012,"2700 BLOCK W MONTGOMERY AVE",2600,"All Other Offenses",16,-75.178561,39.982882
25,"G","2007-04-23 12:42:00",200725040605,"200 BLOCK W LEHIGH AVE",1100,"Fraud",18,-75.136216,39.991616
17,"F","2009-05-16 12:05:00",200917021229,"1500 BLOCK ELLSWORTH ST",600,"Theft from Vehicle",13,-75.170231,39.937318
2,"P","2006-04-20 15:53:00",200602024172,"5600 BLOCK RISING SUN AVE",600,"Thefts",2,-75.109053,40.039839
14,"4","2010-02-25 08:52:00",201014012880,"7700 BLOCK STENTON AVE",500,"Burglary Residential",10,-75.190992,40.074161
23,"H","2006-03-31 18:55:00",200623013382,"1900 BLOCK W GIRARD AVE",2600,"All Other Offenses",16,-75.167481,39.972467
22,"1","2011-01-24 15:59:00",201122006622,"2400 BLOCK N GRATZ ST",600,"Theft from Vehicle",16,-75.163001,39.990382
9,"E","2009-02-20 13:16:00",200909008264,"100 BLOCK S 17TH ST",600,"Thefts",8,-75.168827,39.951469
25,"3","2013-03-15 16:52:00",201325022117,"400 BLOCK E TIOGA ST",600,"Theft from Vehicle",18,-75.121908,40.002302
24,"3","2012-10-31 22:44:00",201224097420,"2900 BLOCK CHATHAM ST",400,"Aggravated Assault No Firearm",17,-75.112839,39.983666
18,"1","2011-08-20 08:12:00",201118050839,"S 59TH ST  / DELANCEY ST",400,"Aggravated Assault No Firearm",14,-75.240027,39.955778
6,"B","2009-09-06 08:40:00",200906047497,"400 BLOCK PINE ST",600,"Theft from Vehicle",5,-75.149331,39.943657
16,"1","2015-02-07 03:11:00",201516005375,"3900 BLOCK HAVERFORD AV",2600,"All Other Offenses",12,-75.199686,39.963129
4,"E","2009-02-08 01:26:00",200904005388,"300 BLOCK DALY ST",400,"Aggravated Assault No Firearm",3,-75.153806,39.920281
18,"2","2011-02-14 19:23:00",201118008664,"5600 BLOCK CHESTNUT ST",1800,"Narcotic / Drug Law Violations",14,-75.233247,39.959438
19,"1","2011-03-24 09:43:00",201119026164,"6700 BLOCK LANSDOWNE AVE",2600,"All Other Offenses",15,-75.254062,39.974437
3,"1","2011-09-10 23:06:00",201103062002,"600 BLOCK S BROAD ST",2100,"DRIVING UNDER THE INFLUENCE",3,-75.165373,39.943634
35,"3","2014-03-22 00:38:00",201435022028,"2100 BLOCK ELKINS AV",2600,"All Other Offenses",20,-75.157021,40.040735
24,"1","2012-07-22 02:55:00",201224064769,"3700 BLOCK SEPVIVA ST",900,"Arson",17,-75.097025,39.997599
39,"T","2009-01-23 02:29:00",200939004595,"5200 BLOCK MORRIS ST",700,"Recovered Stolen Motor Vehicle",21,-75.173764,40.024605
35,"1","2012-03-14 21:15:00",201235020335,"700 BLOCK SPARKS ST",500,"Burglary Residential",20,-75.133043,40.045669
35,"H","2007-07-16 18:35:00",200735063790,"4800 BLOCK N CARLISLE ST",400,"Aggravated Assault No Firearm",20,-75.148305,40.026984
25,"K","2009-06-24 20:00:00",200925066060,"3400 BLOCK N MARSHALL ST",1800,"Narcotic / Drug Law Violations",18,-75.140637,40.003506
25,"G","2006-05-18 09:17:00",200625051768,"2800 BLOCK N MASCHER ST",1800,"Narcotic / Drug Law Violations",18,-75.132598,39.992781
12,"1","2012-12-20 16:00:00",201212094061,"6900 BLOCK BUIST AVE",800,"Other Assaults",9,-75.23466,39.916958
8,"3","2011-10-15 18:22:00",201108042978,"1400 BLOCK FRANKLIN MILLS CIR",600,"Thefts",7,-74.959269,40.086701
9,"2","2015-01-12 07:21:00",201509001334,"2200 BLOCK CHERRY ST",1400,"Vandalism/Criminal Mischief",8,-75.176292,39.957043
19,"2","2012-10-19 16:32:00",201219087950,"0 BLOCK N CONESTOGA ST",1400,"Vandalism/Criminal Mischief",15,-75.229632,39.960986
39,"2","2011-06-15 15:03:00",201139034288,"3200 BLOCK N 16TH ST",1400,"Vandalism/Criminal Mischief",21,-75.156171,40.002069
2,"1","2011-07-11 23:31:00",201102046005,"6300 BLOCK SYLVESTER ST",1400,"Vandalism/Criminal Mischief",2,-75.073184,40.036807
2,"1","2014-04-05 20:34:00",201402019663,"2100 BLOCK LONGSHORE AV",2600,"All Other Offenses",2,-75.064311,40.041617
2,"2","2010-06-18 01:44:00",201002041871,"500 BLOCK E CHELTENHAM AVE",800,"Other Assaults",2,-75.101384,40.041407
3,"A","2007-01-04 08:47:00",200703000424,"1400 BLOCK S FRONT ST",600,"Theft from Vehicle",3,-75.146486,39.930105
2,"1","2011-03-21 16:58:00",201102017293,"1200 BLOCK LONGSHORE AVE",500,"Burglary Residential",2,-75.075401,40.047898
9,"1","2016-05-10 17:19:00",201609018070,"200 BLOCK S BROAD ST",2600,"All Other Offenses",8,-75.164402,39.949328
1,"1","2011-07-26 13:33:00",201101033779,"2400 BLOCK S 23RD ST",600,"Thefts",1,-75.185397,39.921983
25,"1","2011-07-27 02:00:00",201125065795,"900 BLOCK W RUSSELL ST",700,"Motor Vehicle Theft",18,-75.144263,40.004247
35,"J","2009-05-02 12:56:00",200935035202,"5800 BLOCK OLD YORK RD",800,"Other Assaults",20,-75.144534,40.041215
23,"C","2009-03-05 18:19:00",200923010274,"1500 BLOCK W GIRARD AVE",600,"Theft from Vehicle",16,-75.161182,39.971657
15,"1","2012-04-12 14:25:00",201215033960,"4600 BLOCK OAKLAND ST",300,"Robbery Firearm",11,-75.090338,40.017426
15,"1","2011-11-29 18:17:00",201115118002,"1600 BLOCK DYRE ST",2600,"All Other Offenses",11,-75.077876,40.020526
12,"3","2015-08-10 13:23:00",201512063372,"5800 BLOCK ELMWOOD AVE",2600,"All Other Offenses",9,-75.22081,39.928845
17,"A","2007-09-07 22:59:00",200717042408,"1700 BLOCK DICKINSON ST",100,"Homicide - Criminal",13,-75.174054,39.932437
14,"X","2009-01-11 17:51:00",200914002512,"MORTON/HIGH   ST",300,"Robbery No Firearm",10,-75.173358,40.043629
19,"1","2016-08-01 11:35:00",201619070088,"800 BLOCK N 66TH ST",700,"Recovered Stolen Motor Vehicle",15,-75.251932,39.975009
4,"H","2009-04-10 00:49:00",200904014738,"2400 BLOCK S MARSHALL ST",2600,"All Other Offenses",3,-75.158056,39.918997
25,"1","2014-10-11 09:49:00",201425085980,"4000 BLOCK N DARIEN ST",1100,"Fraud",18,-75.141167,40.013367
17,"1","2012-01-28 19:32:00",201217004257,"1600 BLOCK WASHINGTON AVE",2600,"All Other Offenses",13,-75.170552,39.938296
15,"2","2012-08-04 14:24:00",201215075074,"FRANKFORD AV / ROBBINS ST",300,"Robbery No Firearm",11,-75.059984,40.027802
25,"1","2014-04-06 21:24:00",201425025701,"1200 BLOCK W LUZERNE ST",1800,"Narcotic / Drug Law Violations",18,-75.147235,40.014044
24,"1","2014-05-02 11:41:00",201424035000,"3600 BLOCK SEPVIVA ST",1100,"Fraud",17,-75.099,39.996022
12,"4","2012-04-08 00:50:00",201212024638,"1800 BLOCK S 58TH ST",2600,"All Other Offenses",9,-75.22975,39.936701
25,"2","2016-03-21 17:26:00",201625022552,"4100 BLOCK WHITAKER AVE",800,"Other Assaults",18,-75.120266,40.011956
15,"F","2006-11-22 05:42:00",200615129378,"4200 BLOCK FRANKFORD AVE",700,"Motor Vehicle Theft",11,-75.089136,40.010192
8,"3","2011-05-11 21:33:00",201108019255,"9900 BLOCK FRANKFORD AVE FORD AVE",1100,"Fraud",7,-74.983935,40.064137
18,"2","2013-07-31 22:39:00",201318044618,"400 BLOCK S 52ND ST",2600,"All Other Offenses",14,-75.226283,39.953529
35,"3","2009-12-10 18:16:00",200935105893,"5100 BLOCK N CARLISLE ST",1100,"Fraud",20,-75.14737,40.031379
2,"N","2006-12-10 01:26:00",200602082511,"5500 BLOCK SUMMERDALE AVE",1500,"Weapon Violations",2,-75.093159,40.030831
22,"2","2009-08-01 10:47:00",200922050420,"2100 BLOCK W SUSQUEHANNA AV",1400,"Vandalism/Criminal Mischief",16,-75.168597,39.98793
35,"D","2006-04-04 00:39:00",200635027850,"100 BLOCK W OLNEY AV",2600,"All Other Offenses",20,-75.121506,40.035257
23,"M","2006-10-22 22:49:00",200623043263,"W CECIL B MOORE AV /N MARSTON ST",2600,"All Other Offenses",16,-75.179604,39.981502
18,"1","2015-11-04 10:13:00",201518074571,"6100 BLOCK CHRISTIAN ST",1100,"Fraud",14,-75.246881,39.949815
26,"3","2014-10-21 19:55:00",201426055630,"2000 BLOCK E ARIZONA ST",600,"Theft from Vehicle",19,-75.130821,39.983989
14,"2","2016-09-15 00:11:00",201614074638,"5800 BLOCK MAGNOLIA ST",800,"Other Assaults",10,-75.170067,40.042586
26,"3","2012-03-24 23:28:00",201226015768,"1200 BLOCK E MONTGOMERY AV",2600,"All Other Offenses",19,-75.127161,39.971348
4,"K","2006-05-22 16:01:00",200604023641,"1000 BLOCK OREGON AVE",400,"Aggravated Assault Firearm",3,-75.164809,39.915881
19,"2","2013-08-04 02:41:00",201319065922,"5900 BLOCK HAVERFORD AV",400,"Aggravated Assault No Firearm",15,-75.237968,39.969361
26,"U","2006-09-22 16:38:00",200626071112,"2600 BLOCK KENSINGTON AV",2500,"Vagrancy/Loitering",19,-75.127384,39.988844
9,"E","2007-10-24 13:19:00",200709052997,"1700 BLOCK WALNUT ST",600,"Thefts",8,-75.16916,39.949916
24,"P","2006-09-23 08:48:00",200624087828,"3000 BLOCK POTTER ST",500,"Burglary Non-Residential",17,-75.116616,39.995232
3,"1","2016-08-29 17:25:00",201603048929,"600 BLOCK S 04TH ST",600,"Thefts",3,-75.149324,39.940751
15,"I","2006-10-10 12:29:00",200615112222,"5800 BLOCK TORRESDALE AVE",800,"Other Assaults",11,-75.06137,40.01653
3,"3","2014-09-03 03:24:00",201403051723,"1700 BLOCK S 07TH ST",400,"Aggravated Assault No Firearm",3,-75.157156,39.927245
24,"2","2015-06-16 16:24:00",201524055583,"500 BLOCK E CAMBRIA ST",1800,"Narcotic / Drug Law Violations",17,-75.122218,39.992887
2,"1","2011-12-14 12:34:00",201102081463,"5500 BLOCK LANGDON ST",2400,"Disorderly Conduct",2,-75.09398,40.03267
35,"Q","2008-08-29 11:38:00",200835081674,"4800 BLOCK N 9TH ST",500,"Burglary Residential",20,-75.13886,40.026076
24,"1","2011-10-10 13:26:00",201124079618,"3800 BLOCK FRANKFORD AV",700,"Recovered Stolen Motor Vehicle",17,-75.096012,40.002324
14,"3","2016-09-29 21:25:00",201614078911,"5700 BLOCK GERMANTOWN AVE",300,"Robbery No Firearm",10,-75.174799,40.035828
18,"B","2006-04-14 00:16:00",200618024814,"SCHUYLKILL EXP /UNIVERSITY AVE",2100,"DRIVING UNDER THE INFLUENCE",NA,NA,NA
3,"3","2016-07-06 23:53:00",201603038579,"900 BLOCK FEDERAL ST",1100,"Fraud",3,-75.159668,39.934388
24,"2","2013-10-19 10:49:00",201324092680,"300 BLOCK E WILLIAM ST",1800,"Narcotic / Drug Law Violations",17,-75.126438,39.993071
5,"G","2006-06-17 20:10:00",200605014054,"6700 BLOCK RIDGE AVE",2600,"All Other Offenses",4,-75.22481,40.040858
12,"1","2013-01-15 08:06:00",201312003263,"2700 BLOCK ISLAND AV",600,"Theft from Vehicle",9,-75.241999,39.908462
18,"F","2006-03-26 09:30:00",200618020016,"4700 BLOCK HAZEL AVE",300,"Robbery Firearm",14,-75.216898,39.949998
25,"4","2013-10-08 21:42:00",201325084590,"3000 BLOCK N 07TH ST",2600,"All Other Offenses",18,-75.142871,39.997172
26,"1","2010-06-01 07:40:00",201026029615,"500 BLOCK W CUMBERLAND ST",700,"Motor Vehicle Theft",19,-75.1413,39.989109
12,"4","2010-07-18 02:42:00",201012067109,"1000 BLOCK S 57TH ST",400,"Aggravated Assault No Firearm",9,-75.236924,39.945272
18,"B","2006-10-20 17:00:00",200618073710,"1200 BLOCK S DOVER STE",700,"Recovered Stolen Motor Vehicle",NA,NA,NA
25,"3","2013-06-17 02:18:00",201325051607,"2800 BLOCK PALETHORP ST",1400,"Vandalism/Criminal Mischief",18,-75.13404,39.992974
22,"3","2010-02-16 18:54:00",201022013789,"1800 BLOCK INGERSOLL ST",500,"Burglary Residential",16,-75.166103,39.974824
15,"U","2008-06-06 10:22:00",200815064097,"6800 BLOCK COTTAGE ST",2600,"All Other Offenses",11,-75.047373,40.028296
35,"3","2012-11-18 18:37:00",201235089608,"1900 BLOCK W CHEW AV",1400,"Vandalism/Criminal Mischief",20,-75.153049,40.040539
17,"L","2007-04-19 22:15:00",200717016413,"2900 BLOCK TASKER ST",400,"Aggravated Assault No Firearm",13,-75.192856,39.933598
12,"Q","2006-11-21 13:14:00",200612092701,"S RUBY ST /SPRINGFIELD AVE",1100,"Fraud",9,-75.223618,39.941055
18,"N","2007-03-23 23:55:00",200718017497,"5800 BLOCK ELLSWORTH ST",2600,"All Other Offenses",14,-75.241611,39.946582
16,"1","2013-03-26 10:59:00",201316011721,"3900 BLOCK SPRING GARDEN ST",700,"Recovered Stolen Motor Vehicle",12,-75.199781,39.96197
3,"3","2013-12-03 01:38:00",201303074090,"S 12TH ST / BIGLER ST",900,"Arson",3,-75.168059,39.913765
14,"U","2007-02-23 14:21:00",200714012787,"7900 BLOCK STENTON AV",2600,"All Other Offenses",10,-75.193624,40.075659
25,"2","2013-08-16 22:26:00",201325069439,"A ST / E ROCKLAND ST",700,"Recovered Stolen Motor Vehicle",18,-75.121764,40.024374
15,"3","2016-02-20 11:09:00",201615014688,"2800 BLOCK TYSON AVE",1100,"Fraud",11,-75.057038,40.039403
15,"1","2011-03-20 22:46:00",201115027425,"1500 BLOCK HARRISON ST",1400,"Vandalism/Criminal Mischief",11,-75.082959,40.019855
18,"2","2012-02-24 10:28:00",201218009900,"4900 BLOCK CHESTNUT ST",200,"Rape",14,-75.220638,39.957875
39,"1","2014-04-13 18:36:00",201439025112,"5400 BLOCK WAYNE AVE",1500,"Weapon Violations",21,-75.17464,40.029239
12,"4","2013-03-17 11:06:00",201312017253,"1100 BLOCK S 56TH ST",400,"Aggravated Assault No Firearm",9,-75.233064,39.944071
3,"P","2006-04-24 00:06:00",200603014095,"S 6TH ST /DICKINSON ST",2600,"All Other Offenses",3,-75.155,39.929994
22,"3","2015-03-27 02:57:00",201522026105,"1700 BLOCK N PARK AVE",400,"Aggravated Assault No Firearm",16,-75.156219,39.98
6,"1","2016-03-16 15:26:00",201606010668,"400 BLOCK N 06TH ST",2400,"Disorderly Conduct",5,-75.148874,39.958053
16,"F","2009-08-05 19:22:00",200916048183,"3800 BLOCK FAIRMOUNT AVE",700,"Motor Vehicle Theft",12,-75.199922,39.965436
25,"G","2008-02-06 15:53:00",200825012956,"200 BLOCK W SOMERSET ST",600,"Theft from Vehicle",18,-75.135476,39.993076
8,"G","2006-01-17 12:42:00",200608002560,"9100 BLOCK FRANKFORD AVE",700,"Recovered Stolen Motor Vehicle",7,-75.007876,40.05246
17,"1","2012-09-02 18:52:00",201217042076,"800 BLOCK S BROAD ST",600,"Thefts",13,-75.166412,39.94007
12,"K","2007-12-17 16:05:00",200712108113,"2700 BLOCK 55TH DR",2600,"All Other Offenses",9,-75.215992,39.930681
22,"O","2006-12-03 13:10:00",200622074877,"N 31 RIDGE AVE",700,"Recovered Stolen Motor Vehicle",NA,NA,NA
15,"3","2016-07-19 12:23:00",201615070020,"4000 BLOCK BLEIGH AVE",2600,"All Other Offenses",11,-75.037536,40.037231
25,"4","2015-05-05 17:02:00",201525035246,"1300 BLOCK W WESTMORELAND ST",600,"Thefts",18,-75.150409,40.002874
12,"N","2009-07-19 19:08:00",200912066921,"1000 BLOCK S PAXON ST",600,"Thefts",9,-75.221934,39.943932
6,"J","2008-10-16 02:31:00",200806059114,"100 BLOCK S 13TH ST",2100,"DRIVING UNDER THE INFLUENCE",5,-75.16193,39.94968
35,"S","2008-05-17 18:03:00",200835045007,"1900 BLOCK CHELTEN AVE",800,"Other Assaults",20,-75.151125,40.051686
26,"C","2008-02-10 11:11:00",200826008379,"2300 BLOCK E THOMPSON ST",600,"Theft from Vehicle",19,-75.121979,39.975809
14,"M","2007-12-05 11:00:00",200714091922,"200 BLOCK MONTANA ST",1800,"Narcotic / Drug Law Violations",10,-75.181191,40.053007
18,"1","2016-09-16 07:39:00",201618068088,"6000 BLOCK CARPENTER ST",600,"Theft from Vehicle",14,-75.243919,39.948758
3,"A","2006-01-15 01:41:00",200603001747,"200 BLOCK WASHINGTON AVE",2100,"DRIVING UNDER THE INFLUENCE",3,-75.147356,39.933622
6,"M","2007-02-10 01:21:00",200706008117,"500 BLOCK N 6TH ST",300,"Robbery Firearm",5,-75.148151,39.961919
9,"G","2006-09-21 14:16:00",200609048542,"0 BLOCK S 15TH ST",600,"Thefts",8,-75.165554,39.951558
5,"3","2012-11-14 23:25:00",201205021361,"8200 BLOCK HENRY AVE",1400,"Vandalism/Criminal Mischief",4,-75.235685,40.060348
2,"M","2008-08-26 17:03:00",200802058268,"6200 BLOCK OXFORD AVE",500,"Burglary Non-Residential",2,-75.088679,40.043143
35,"3","2014-02-12 19:10:00",201435010856,"6200 BLOCK LIMEKILN PIKE",300,"Robbery Firearm",20,-75.151589,40.048615
